2023-04-08 14:17:49,760 - logger - INFO - 第100次迭代，探索步长限制300，角度最小误差2.257558576510851，最大累积奖励-13838.766149273997, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:50,480 - logger - INFO - 第200次迭代，探索步长限制300，角度最小误差2.1111352622274033，最大累积奖励-13660.647872251202, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:51,195 - logger - INFO - 第300次迭代，探索步长限制300，角度最小误差1.9469198424461744，最大累积奖励-13796.371068608292, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:51,921 - logger - INFO - 第400次迭代，探索步长限制300，角度最小误差1.6347493140284044，最大累积奖励-13532.042671149786, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:52,621 - logger - INFO - 第500次迭代，探索步长限制300，角度最小误差1.9234745142896257，最大累积奖励-13667.125243881364, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:53,333 - logger - INFO - 第600次迭代，探索步长限制300，角度最小误差2.058295106036481，最大累积奖励-13838.260100784037, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:54,037 - logger - INFO - 第700次迭代，探索步长限制300，角度最小误差2.1283248293873043，最大累积奖励-13654.343993755047, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:54,801 - logger - INFO - 第800次迭代，探索步长限制300，角度最小误差2.020442935165068，最大累积奖励-13789.657052249457, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:55,567 - logger - INFO - 第900次迭代，探索步长限制300，角度最小误差1.9452801479820865，最大累积奖励-13759.099356353256, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:56,364 - logger - INFO - 第1000次迭代，探索步长限制300，角度最小误差2.0854507825409856，最大累积奖励-13303.042486280523, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:57,136 - logger - INFO - 第1100次迭代，探索步长限制300，角度最小误差1.8009638937422094，最大累积奖励-13188.16497383336, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:57,905 - logger - INFO - 第1200次迭代，探索步长限制300，角度最小误差1.898707878630514，最大累积奖励-13613.81645908722, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:58,686 - logger - INFO - 第1300次迭代，探索步长限制300，角度最小误差1.7824744848432017，最大累积奖励-13374.845729856968, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:17:59,447 - logger - INFO - 第1400次迭代，探索步长限制300，角度最小误差2.131962171368298，最大累积奖励-13375.605282178054, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:18:00,220 - logger - INFO - 第1500次迭代，探索步长限制300，角度最小误差1.9130360323590745，最大累积奖励-13608.121939184555, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:18:00,999 - logger - INFO - 第1600次迭代，探索步长限制300，角度最小误差2.0761637626275053，最大累积奖励-13573.875659109968, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:18:01,794 - logger - INFO - 第1700次迭代，探索步长限制300，角度最小误差2.0806537487689787，最大累积奖励-13516.443053485546, 最小步数300, eps=0.9, lr=0.9
