2023-04-08 13:21:52,866 - logger - INFO - 第100次迭代，探索步长限制300，角度最小误差1.751960171476071，最大累积奖励-13269.355680698704, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:21:59,210 - logger - INFO - 第200次迭代，探索步长限制300，角度最小误差1.684187797583857，最大累积奖励-13033.949474385588, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:05,196 - logger - INFO - 第300次迭代，探索步长限制300，角度最小误差1.805534363969992，最大累积奖励-13234.317794235834, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:10,880 - logger - INFO - 第400次迭代，探索步长限制300，角度最小误差1.969671288870031，最大累积奖励-13549.003166885923, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:16,573 - logger - INFO - 第500次迭代，探索步长限制300，角度最小误差1.4773555037239912，最大累积奖励-13422.268893496357, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:22,189 - logger - INFO - 第600次迭代，探索步长限制300，角度最小误差1.6927446198082197，最大累积奖励-13392.680798098942, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:27,779 - logger - INFO - 第700次迭代，探索步长限制300，角度最小误差1.4736385053401246，最大累积奖励-13230.282290915626, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:33,544 - logger - INFO - 第800次迭代，探索步长限制300，角度最小误差1.4875825592427772，最大累积奖励-13085.239348640047, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:39,490 - logger - INFO - 第900次迭代，探索步长限制300，角度最小误差1.8361782464980752，最大累积奖励-13301.589011541942, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:46,095 - logger - INFO - 第1000次迭代，探索步长限制300，角度最小误差1.7200932880062625，最大累积奖励-13562.642523938139, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:22:51,861 - logger - INFO - 第1100次迭代，探索步长限制300，角度最小误差1.665238261071802，最大累积奖励-13531.188888635095, 最小步数300, eps=0.9, lr=0.9
