2023-04-07 11:33:06,865 - logger - INFO - 第100次迭代，探索步长限制300，角度最小误差2.1180265072988753，最大累积奖励-13701.110868195492, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:07,436 - logger - INFO - 第200次迭代，探索步长限制300，角度最小误差2.006193933364078，最大累积奖励-13942.925672737461, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:08,008 - logger - INFO - 第300次迭代，探索步长限制300，角度最小误差1.9515135342962546，最大累积奖励-13550.41262945133, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:08,606 - logger - INFO - 第400次迭代，探索步长限制300，角度最小误差2.0729887323108454，最大累积奖励-14027.232697553965, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:09,182 - logger - INFO - 第500次迭代，探索步长限制300，角度最小误差1.8254626083039192，最大累积奖励-13798.19975409076, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:09,740 - logger - INFO - 第600次迭代，探索步长限制300，角度最小误差2.1173085038815214，最大累积奖励-13834.604624814305, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:10,299 - logger - INFO - 第700次迭代，探索步长限制300，角度最小误差2.21238614972685，最大累积奖励-14018.524467781288, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:10,852 - logger - INFO - 第800次迭代，探索步长限制300，角度最小误差2.198687996299353，最大累积奖励-13852.568057568786, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:11,417 - logger - INFO - 第900次迭代，探索步长限制300，角度最小误差1.866827208763338，最大累积奖励-13587.399076367717, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:11,975 - logger - INFO - 第1000次迭代，探索步长限制300，角度最小误差2.0527076792919736，最大累积奖励-13354.895055935125, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:12,531 - logger - INFO - 第1100次迭代，探索步长限制300，角度最小误差2.0532798563909918，最大累积奖励-13803.956758800252, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:13,090 - logger - INFO - 第1200次迭代，探索步长限制300，角度最小误差2.0716969045209814，最大累积奖励-13250.566838523273, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:13,651 - logger - INFO - 第1300次迭代，探索步长限制300，角度最小误差1.7651371888184846，最大累积奖励-13568.200140651665, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:14,245 - logger - INFO - 第1400次迭代，探索步长限制300，角度最小误差2.0164157121459647，最大累积奖励-13598.609144978533, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:14,890 - logger - INFO - 第1500次迭代，探索步长限制300，角度最小误差2.1735376815895577，最大累积奖励-13811.025073596782, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:15,560 - logger - INFO - 第1600次迭代，探索步长限制300，角度最小误差2.1673768372851665，最大累积奖励-13494.187527254244, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:16,288 - logger - INFO - 第1700次迭代，探索步长限制300，角度最小误差2.0893729475433522，最大累积奖励-13357.566464110057, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:16,966 - logger - INFO - 第1800次迭代，探索步长限制300，角度最小误差1.5408400739237766，最大累积奖励-13528.177049251624, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:17,603 - logger - INFO - 第1900次迭代，探索步长限制300，角度最小误差2.04104924719638，最大累积奖励-13804.390709668764, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:18,291 - logger - INFO - 第2000次迭代，探索步长限制300，角度最小误差1.974444862734467，最大累积奖励-13606.067599588123, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:18,927 - logger - INFO - 第2100次迭代，探索步长限制300，角度最小误差2.0247235777210877，最大累积奖励-13637.038966163032, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:19,579 - logger - INFO - 第2200次迭代，探索步长限制300，角度最小误差1.8686757569846666，最大累积奖励-13671.96816424572, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:20,219 - logger - INFO - 第2300次迭代，探索步长限制300，角度最小误差2.045658643124551，最大累积奖励-13660.32203763605, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:20,898 - logger - INFO - 第2400次迭代，探索步长限制300，角度最小误差2.1391624493304278，最大累积奖励-13703.230082131397, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:21,539 - logger - INFO - 第2500次迭代，探索步长限制300，角度最小误差1.9597119598015142，最大累积奖励-13850.4463187288, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:22,171 - logger - INFO - 第2600次迭代，探索步长限制300，角度最小误差2.0135912134384273，最大累积奖励-13582.10387909802, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:22,795 - logger - INFO - 第2700次迭代，探索步长限制300，角度最小误差2.041706886880953，最大累积奖励-13361.117779743416, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:23,454 - logger - INFO - 第2800次迭代，探索步长限制300，角度最小误差1.9249698459303106，最大累积奖励-13492.453569216503, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:24,071 - logger - INFO - 第2900次迭代，探索步长限制300，角度最小误差2.0025235945942867，最大累积奖励-13439.083707388023, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:24,756 - logger - INFO - 第3000次迭代，探索步长限制300，角度最小误差1.9559072340972161，最大累积奖励-13622.977928468386, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:25,417 - logger - INFO - 第3100次迭代，探索步长限制300，角度最小误差2.022209305556217，最大累积奖励-13226.141291702497, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:26,019 - logger - INFO - 第3200次迭代，探索步长限制300，角度最小误差2.1892763075900774，最大累积奖励-13906.172208797429, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:26,675 - logger - INFO - 第3300次迭代，探索步长限制300，角度最小误差2.0388085701258305，最大累积奖励-13739.463220510845, 最小步数300, eps=0.9, lr=0.9
